bitter herb,slugs,cooked veg,giant meat,raw veg,dessert,potatoes,green meat,eggs,beans,honey,fish,milk,chili,fried veg,cups water,region
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,forest
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,highlands
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,3,north
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,south
0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,forest
0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,3,highlands
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,mountains
0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,5,coast
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,5,savanna
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,5,savanna
0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,forest
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,3,north
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,5,north
0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,3,highlands
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,3,north
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,7,mountains
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,5,north
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,south
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,highlands
